SpotApp table;SpotApp columns;SpotApp column datatype;SpotApp column description;SpotApp mandatory column
GOOGLEADS_AD;AD_TYPE;VARCHAR;;Yes
GOOGLEADS_AD;CAMPAIGN_NAME;VARCHAR;;Yes
GOOGLEADS_AD;CLICKS;INT64;;Yes
GOOGLEADS_AD;CONVERSIONS;DOUBLE;;Yes
GOOGLEADS_AD;COST_USD;DOUBLE;;Yes
GOOGLEADS_AD;DATE;DATE;;Yes
GOOGLEADS_AD;DEVICE;VARCHAR;;Yes
GOOGLEADS_AD;ENGAGEMENTS;INT64;;Yes
GOOGLEADS_AD;IMAGE_AD_NAME;VARCHAR;;Yes
GOOGLEADS_AD;IMPRESSIONS;INT64;;Yes
GOOGLEADS_AD;INTERACTIONS;INT64;;Yes
GOOGLEADS_AD;NETWORK;VARCHAR;;Yes
GOOGLEADS_AD;VIDEO_IMPRESSIONS;INT64;;Yes
GOOGLEADS_CAMPAIGN;BIDDING_STRATEGY_TYPE;VARCHAR;;Yes
GOOGLEADS_CAMPAIGN;CAMPAIGN_ID;VARCHAR;;Yes
GOOGLEADS_CAMPAIGN;CAMPAIGN_NAME;VARCHAR;;Yes
GOOGLEADS_CAMPAIGN;CAMPAIGN_STATUS;VARCHAR;;Yes
GOOGLEADS_CAMPAIGN;CLICKS;INT64;;Yes
GOOGLEADS_CAMPAIGN;CONVERSIONS;DOUBLE;;Yes
GOOGLEADS_CAMPAIGN;COST_USD;DOUBLE;;Yes
GOOGLEADS_CAMPAIGN;DAILY_BUDGET;DOUBLE;;Yes
GOOGLEADS_CAMPAIGN;DATE;DATE;;Yes
GOOGLEADS_CAMPAIGN;ENGAGEMENTS;INT64;;Yes
GOOGLEADS_CAMPAIGN;IMPRESSIONS;INT64;;Yes
GOOGLEADS_CAMPAIGN;INTERACTIONS;INT64;;Yes
GOOGLEADS_GEO;CAMPAIGN_NAME;VARCHAR;;Yes
GOOGLEADS_GEO;CITY;VARCHAR;;Yes
GOOGLEADS_GEO;CLICKS;INT64;;Yes
GOOGLEADS_GEO;CONVERSIONS;DOUBLE;;Yes
GOOGLEADS_GEO;COST_USD;DOUBLE;;Yes
GOOGLEADS_GEO;COUNTRY_NAME;VARCHAR;;Yes
GOOGLEADS_GEO;DATE;DATE;;Yes
GOOGLEADS_GEO;IMPRESSIONS;INT64;;Yes
GOOGLEADS_GEO;METRO_AREA;VARCHAR;;Yes
GOOGLEADS_GEO;REGION;VARCHAR;;Yes
GOOGLEADS_KEYWORD;CLICKS;INT64;;Yes
GOOGLEADS_KEYWORD;CONVERSIONS;DOUBLE;;Yes
GOOGLEADS_KEYWORD;COST_USD;DOUBLE;;Yes
GOOGLEADS_KEYWORD;DATE;DATE;;Yes
GOOGLEADS_KEYWORD;IMPRESSIONS;INT64;;Yes
GOOGLEADS_KEYWORD;KEYWORD;VARCHAR;;Yes
GOOGLEADS_KEYWORD;NETWORK;VARCHAR;;Yes
